index negative positive
2015-02-22 0.056904 1e-06
2015-02-23 0.066084 1e-06
2015-02-24 0.120018333333 1e-06
2015-02-25 0.210549333333 0.100937
2015-02-26 0.114288333333 1e-06
2015-02-27 1e-06 0.179066666667
2015-02-28 0.280827 1e-06
2015-03-01 1e-06 0.315185
2015-03-02 1e-06 1e-06
2015-03-03 0.283211666667 1e-06
2015-03-04 1e-06 0.109651
2015-03-05 0.2409795 1e-06
2015-03-06 1e-06 1e-06
2015-03-07 1e-06 1e-06
2015-03-08 0.451526 1e-06
2015-03-09 0.184508 1e-06
2015-03-10 0.329348 1e-06
2015-03-11 1e-06 0.1560185
2015-03-12 0.358703 1e-06
2015-03-13 0.223795666667 1e-06
2015-03-14 1e-06 1e-06
2015-03-15 1e-06 1e-06
2015-03-16 0.458802 1e-06
2015-03-17 1e-06 0.03023485
2015-03-18 1e-06 1e-06
2015-03-19 1e-06 1e-06
2015-03-20 0.206654666667 0.0760443333333
2015-03-21 1e-06 1e-06
2015-03-22 1e-06 1e-06
2015-03-23 1e-06 1e-06
2015-03-24 0.2132416 1e-06
2015-03-25 0.219186 1e-06
2015-03-26 0.2322295 0.197843
2015-03-27 1e-06 1e-06
2015-03-28 1e-06 1e-06
2015-03-29 0.162969666667 0.112953666667
2015-03-30 1e-06 1e-06
2015-03-31 0.14977005 1e-06
2015-04-01 1e-06 1e-06
2015-04-02 0.58843 1e-06
2015-04-03 1e-06 1e-06
2015-04-04 1e-06 1e-06
2015-04-05 0.0929826 1e-06
2015-04-06 1e-06 1e-06
2015-04-07 0.4794965 1e-06
2015-04-08 0.307569 1e-06
2015-04-09 1e-06 1e-06
2015-04-10 0.10094256 0.0907396
2015-04-11 1e-06 1e-06
2015-04-12 0.501866 1e-06
2015-04-13 0.185357 1e-06
2015-04-14 0.382362 1e-06
2015-04-15 1e-06 1e-06
2015-04-16 1e-06 0.168947
2015-04-17 0.337503 1e-06
2015-04-18 1e-06 1e-06
2015-04-19 0.33178 1e-06
2015-04-20 1e-06 1e-06
2015-04-21 1e-06 1e-06
2015-04-22 1e-06 1e-06
2015-04-23 0.020221625 1e-06
2015-04-24 1e-06 0.144146
2015-04-25 0.281486 1e-06
2015-04-26 0.368573 1e-06
2015-04-27 1e-06 1e-06
2015-04-28 0.074185 1e-06
2015-04-29 0.082619 1e-06
2015-04-30 0.07638475 1e-06
2015-05-01 0.09501475 0.09118675
2015-05-02 1e-06 0.0360662
2015-05-03 0.03990895 0.11672
2015-05-04 1e-06 0.349854
2015-05-05 0.1750424 0.082832
2015-05-06 1e-06 0.2054766
2015-05-07 1e-06 0.444574
2015-05-08 1e-06 0.135572
2015-05-09 1e-06 0.0538752
2015-05-10 1e-06 1e-06
2015-05-11 1e-06 1e-06
2015-05-12 0.133236333333 0.0496576666667
2015-05-13 0.303933333333 0.0231913666667
2015-05-14 0.077087 0.1304905
2015-05-15 1e-06 1e-06
2015-05-16 1e-06 1e-06
2015-05-17 0.312918 1e-06
2015-05-18 1e-06 0.0662226666667
2015-05-19 0.293282 1e-06
2015-05-20 1e-06 0.0756106666667
2015-05-21 1e-06 1e-06
2015-05-22 0.116632675 0.07532625
2015-05-23 1e-06 1e-06
2015-05-24 1e-06 1e-06
2015-05-25 0.094291 1e-06
2015-05-26 0.0892155 1e-06
2015-05-27 0.263191 1e-06
2015-05-28 0.547621 1e-06
2015-05-29 0.22378275 1e-06
2015-05-30 0.1665438 1e-06
2015-05-31 0.456937 1e-06
2015-06-01 1e-06 1e-06
2015-06-02 0.305446 1e-06
2015-06-03 1e-06 1e-06
2015-06-04 0.1779845 1e-06
2015-06-05 1e-06 0.0547733
2015-06-06 0.125741 1e-06
2015-06-07 0.0390985 1e-06
2015-06-08 0.187020566667 1e-06
2015-06-09 1e-06 0.2557675
2015-06-10 0.109710333333 0.0730763333333
2015-06-11 1e-06 1e-06
2015-06-12 1e-06 1e-06
2015-06-13 1e-06 1e-06
2015-06-14 0.139066333333 1e-06
2015-06-15 0.1734365 0.02877925
2015-06-16 1e-06 0.0761966666667
2015-06-17 0.1605652 1e-06
2015-06-18 0.0934151 0.1007065
2015-06-19 0.0666100285714 1e-06
2015-06-20 0.15147 0.253743
2015-06-21 1e-06 1e-06
2015-06-22 1e-06 1e-06
2015-06-23 0.14455425 1e-06
2015-06-24 0.0523366666667 1e-06
2015-06-25 0.149415 0.00685003333333
2015-06-26 1e-06 1e-06
2015-06-27 1e-06 1e-06
2015-06-28 1e-06 1e-06
2015-06-29 0.0444263333333 1e-06
2015-06-30 0.0707494 0.0264288
2015-07-01 0.0959448333333 0.0988221666667
2015-07-02 1e-06 1e-06
2015-07-03 0.151829 0.0121714
2015-07-04 0.18754635 1e-06
2015-07-05 1e-06 0.328369
2015-07-06 1e-06 0.1499285
2015-07-07 1e-06 1e-06
2015-07-08 1e-06 1e-06
2015-07-09 1e-06 0.364853
2015-07-10 1e-06 1e-06
2015-07-11 1e-06 1e-06
2015-07-12 0.2098565 0.077001
2015-07-13 1e-06 0.0582015
2015-07-14 1e-06 1e-06
2015-07-15 1e-06 1e-06
2015-07-16 0.252544 1e-06
2015-07-17 0.1822105 0.02508795
2015-07-18 1e-06 1e-06
2015-07-19 1e-06 1e-06
2015-07-20 0.321689 1e-06
2015-07-21 1e-06 0.124461
2015-07-22 0.0121504666667 1e-06
2015-07-23 0.0696825 0.078799
2015-07-24 1e-06 0.2124135
2015-07-25 0.458629 1e-06
2015-07-26 0.14108 1e-06
2015-07-27 1e-06 1e-06
2015-07-28 0.370441 1e-06
2015-07-29 0.2897255 1e-06
2015-07-30 1e-06 0.195696
2015-07-31 0.302379 1e-06
2015-08-01 1e-06 1e-06
2015-08-02 1e-06 1e-06
2015-08-03 1e-06 0.0176078333333
2015-08-04 1e-06 0.036847875
2015-08-05 0.006781 0.03960955
2015-08-06 1e-06 1e-06
2015-08-07 1e-06 1e-06
2015-08-08 0.3932635 1e-06
2015-08-09 0.322947 1e-06
2015-08-10 1e-06 1e-06
2015-08-11 1e-06 0.0811245
2015-08-12 0.181452 1e-06
2015-08-13 1e-06 1e-06
2015-08-14 1e-06 1e-06
2015-08-15 1e-06 1e-06
2015-08-16 1e-06 1e-06
2015-08-17 1e-06 1e-06
2015-08-18 0.063765 1e-06
2015-08-19 0.0327785333333 1e-06
2015-08-20 0.229228 1e-06
2015-08-21 1e-06 1e-06
2015-08-22 1e-06 1e-06
2015-08-23 1e-06 1e-06
2015-08-24 0.395785 1e-06
2015-08-25 0.0389576666667 1e-06
2015-08-26 1e-06 1e-06
2015-08-27 0.297484 1e-06
2015-08-28 1e-06 0.0215139
2015-08-29 0.149127 1e-06
2015-08-30 0.3171495 1e-06
2015-08-31 0.119009 1e-06
2015-09-01 0.273133 1e-06
2015-09-02 0.143972666667 0.0163081333333
2015-09-03 0.24231525 0.00505625
2015-09-04 1e-06 1e-06
2015-09-05 1e-06 1e-06
